epoch,loss,lr,val_loss
0,1.3010842355027149e+17,1e-04,9.658605777610342e+16
1,1.2892104548155392e+17,1e-04,9.539163596102042e+16
2,1.2767926735706522e+17,1e-04,9.413309887414272e+16
3,1.2637220572967731e+17,1e-04,9.281889042117427e+16
4,1.2501158586010829e+17,1e-04,9.145572793096602e+16
5,1.236037814798254e+17,1e-04,9.004219406431027e+16
6,1.221408211295273e+17,1e-04,8.857308332084429e+16
7,1.206262954018734e+17,1e-04,8.705735500234752e+16
8,1.190707699164119e+17,1e-04,8.55143021019136e+16
9,1.1747560188280832e+17,1e-04,8.391705530413875e+16
10,1.1583734673729126e+17,1e-04,8.230386558776115e+16
11,1.1417187867898675e+17,1e-04,8.06682819119022e+16
12,1.1248687710942003e+17,1e-04,7.900563135214387e+16
13,1.1077648369319936e+17,1e-04,7.733307659780096e+16
14,1.0904539712454656e+17,1e-04,7.56547837671506e+16
15,1.0730506778627277e+17,1e-04,7.3981464508629e+16
16,1.0556399112368947e+17,1e-04,7.230862628644454e+16
